hotel_name,location,rate,facility,category
OYO 1419 Rhona Guest House Syariah,"Near Giwangan Bus Terminal, Yogyakarta",NEW,"Free Wifi, Queen Sized Bed, AC, TV, Parking Facility","Indonesia Deluxe Double, Indonesia Deluxe Twin, Indonesia Suite Double"
OYO 3220 Kost Putri Exclusive 272,"Near Ambarukmo Plaza, Yogyakarta",NEW,"Free Wifi, Queen Sized Bed, AC, TV, Parking Facility",Monthly standard Double Room
OYO 1303 Golden Inn 2,"Near Tugu Pal Putih, Yogyakarta",NEW,"Free Wifi, AC, TV, Power backup, Parking Facility","Indonesia Standard Single, Indonesia Deluxe Double, Indonesia Standard Double"
OYO 1242 Penginapan Rb Syariah,"Near Sambisari Tample, Yogyakarta",4.5,"Free Wifi, Twin Single Bed, AC, TV, Parking Facility","Indonesia Standard Twin, Indonesia Standard Double"
OYO 3467 White Residence,"Near Hartono mall, Yogyakarta",NEW,"Kitchen, Parking Facility, Reception, Fire-Extinguisher","Indonesia Standard Single, Standard Double, Standard Family"
OYO 90681 Huiz De Rico Guesthouse Syariah,"Jl. Nogogini No.78, Ambarukmo, Caturtunggal, Kec, Kabupaten Sleman, Daerah Istimewa Yogyakarta 55281, Jl Nogogini no. 78, Ambarukmo, Caturtunggal, Sleman, Daerah Istimewa Yogyakarta, Yogyakarta",NEW,"Window, AC, TV",Indonesia Deluxe Double
OYO 91075 Sambisari Residence Syariah,"80, Purwomartani, Kalasan, Sleman, Daerah Istimewa Yogyakarta, 55282, Indonesia, Yogyakarta",NEW,"Window, AC, TV","Indonesia Standard Single, Indonesia Standard Twin, Indonesia Standard Double"
OYO 409 Pondok Helomi,"Near Maguwoharjo Stadium, Yogyakarta",NEW,"AC, TV, Seating Area","Indonesia Standard Single, Indonesia Deluxe Double"
OYO 90938 Eco Guest House Syariah,"Gang Garuda I, Baturetno, Banguntapan, Bantul, Daerah Istimewa Yogyakarta, 55197, Indonesia, Yogyakarta",NEW,"Window, AC, TV, Coffee/Tea Maker, Hair Dryer","Indonesia Deluxe Single, Indonesia Deluxe Twin, Indonesia Deluxe Double"
OYO 90308 Puri Cartenz Syariah,"9, Kecamatan Depok, Tambak Bayan, Caturtunggal, Kec. Depok, Kabupaten Sleman, Yogyakarta",NEW,"Free Wifi, AC, TV, Parking Facility, CCTV Cameras","Indonesia Standard Double, Indonesia Suite Family, Indonesia Deluxe Double"
